date,symbol,open,high,low,close,volume,Day,Month,DayOfWeek
2017-12-29,GGP,-0.7400,-0.7431,-0.7370,-0.7414,0.5776,29,12,4
2017-12-29,GILD,0.1417,0.1384,0.1406,0.1292,1.6395,29,12,4
2017-12-29,GIS,-0.0897,-0.0874,-0.0837,-0.0936,0.1089,29,12,4
2017-12-29,GLW,-0.5797,-0.5848,-0.5801,-0.5863,0.3228,29,12,4
2017-12-29,GM,-0.4142,-0.4199,-0.4163,-0.4239,1.3940,29,12,4
2017-12-29,GPC,0.5586,0.5538,0.5656,0.5509,-0.4995,29,12,4
2017-12-29,GPN,0.6525,0.6401,0.6565,0.6453,-0.3908,29,12,4
2017-12-29,GPS,-0.5402,-0.5419,-0.5426,-0.5489,0.0276,29,12,4
2017-12-29,GRMN,-0.0847,-0.0904,-0.0817,-0.0886,-0.4988,29,12,4
2017-12-29,GS,3.4557,3.4335,3.4375,3.4334,0.1302,29,12,4
2017-12-29,GT,-0.5703,-0.5760,-0.5741,-0.5805,-0.1450,29,12,4
2017-12-29,GWW,3.1323,3.1439,3.1309,3.0994,-0.4846,29,12,4
2017-12-29,HAL,-0.2849,-0.2861,-0.2864,-0.2817,0.9626,29,12,4
2017-12-29,HAS,0.4876,0.4760,0.4765,0.4765,-0.3874,29,12,4
2017-12-29,HBAN,-0.8978,-0.9006,-0.8973,-0.9008,1.6193,29,12,4
2017-12-29,HBI,-0.7853,-0.7842,-0.7819,-0.7862,0.4460,29,12,4
2017-12-29,HCA,0.4337,0.4307,0.4346,0.4215,-0.2669,29,12,4
2017-12-29,HCN,-0.0137,-0.0131,-0.0067,-0.0128,-0.2247,29,12,4
2017-12-29,HCP,-0.6943,-0.6948,-0.6894,-0.6929,0.2831,29,12,4
2017-12-29,HD,2.2798,2.2526,2.2850,2.2564,0.7893,29,12,4
2017-12-29,HES,-0.2874,-0.2954,-0.3057,-0.3069,0.2081,29,12,4
2017-12-29,HIG,-0.1392,-0.1476,-0.1382,-0.1480,-0.3624,29,12,4
2017-12-29,HII,3.1601,3.1454,3.1189,3.0895,-0.3236,29,12,4
2017-12-29,HLT,0.2948,0.2852,0.2902,0.2775,-0.1745,29,12,4
2017-12-29,HOG,-0.2342,-0.2374,-0.2366,-0.2454,-0.1909,29,12,4
2017-12-29,HOLX,-0.3784,-0.3857,-0.3855,-0.3921,-0.2746,29,12,4
2017-12-29,HON,1.6232,1.6071,1.6272,1.6038,-0.1342,29,12,4
2017-12-29,HPE,-0.8989,-0.9023,-0.9005,-0.9044,1.5544,29,12,4
2017-12-29,HPQ,-0.7815,-0.7839,-0.7796,-0.7844,0.9656,29,12,4
2017-12-29,HP,0.0103,0.0008,-0.0009,0.0029,-0.3574,29,12,4
2017-12-29,HRB,-0.6821,-0.6871,-0.6874,-0.6904,-0.0919,29,12,4
2017-12-29,HRL,-0.5026,-0.5056,-0.4999,-0.5069,-0.2527,29,12,4
2017-12-29,HRS,1.4232,1.4023,1.4137,1.3925,-0.4617,29,12,4
2017-12-29,HSIC,0.1089,0.1063,0.1035,0.0974,-0.3509,29,12,4
2017-12-29,HST,-0.8003,-0.8044,-0.8007,-0.8053,0.2645,29,12,4
2017-12-29,HSY,0.8960,0.8909,0.9025,0.8847,-0.5239,29,12,4
2017-12-29,HUM,3.3502,3.3310,3.3477,3.3127,-0.4063,29,12,4
2017-12-29,IBM,1.6196,1.6071,1.6282,1.6048,0.3816,29,12,4
2017-12-29,ICE,0.1157,0.1101,0.1198,0.1097,-0.0732,29,12,4
2017-12-29,IDXX,1.7045,1.6955,1.6798,1.6582,-0.5394,29,12,4
2017-12-29,IFF,1.6196,1.6086,1.6132,1.5902,-0.5945,29,12,4
2017-12-29,ILMN,2.7608,2.7856,2.7914,2.7790,-0.3772,29,12,4
2017-12-29,INCY,0.5611,0.5577,0.5605,0.5455,-0.2687,29,12,4
2017-12-29,INFO,-0.3448,-0.3498,-0.3413,-0.3488,-0.3075,29,12,4
2017-12-29,INTC,-0.3295,-0.3321,-0.3235,-0.3306,4.7579,29,12,4
2017-12-29,INTU,1.6965,1.6914,1.7069,1.6835,-0.4387,29,12,4
2017-12-29,IPG,-0.7951,-0.7983,-0.7952,-0.7997,0.1161,29,12,4
2017-12-29,IP,-0.1168,-0.1214,-0.1137,-0.1180,-0.1652,29,12,4
2017-12-29,IQV,0.6178,0.6063,0.6181,0.6030,-0.3922,29,12,4
2017-12-29,IRM,-0.4772,-0.4820,-0.4761,-0.4827,-0.3159,29,12,4
2017-12-29,IR,0.4535,0.4505,0.4603,0.4459,-0.3606,29,12,4
2017-12-29,ISRG,5.4903,5.4567,5.4719,5.4215,-0.4891,29,12,4
2017-12-29,ITW,1.8595,1.8372,1.8689,1.8472,-0.4282,29,12,4
2017-12-29,IT,1.0789,1.0644,1.0733,1.0586,-0.5296,29,12,4
2017-12-29,IVZ,-0.4977,-0.5041,-0.4972,-0.5042,-0.1888,29,12,4
2017-12-29,JBHT,0.9188,0.9284,0.9264,0.9112,-0.3007,29,12,4
2017-12-29,JCI,-0.4741,-0.4780,-0.4699,-0.4758,0.5555,29,12,4
2017-12-29,JEC,0.0381,0.0320,0.0375,0.0267,-0.4919,29,12,4
2017-12-29,JNJ,1.3815,1.3650,1.3766,1.3576,0.7318,29,12,4
2017-12-29,JNPR,-0.6438,-0.6469,-0.6437,-0.6492,-0.1042,29,12,4
2017-12-29,JPM,0.7877,0.7750,0.7831,0.7661,2.1233,29,12,4
2017-12-29,JWN,-0.3011,-0.3038,-0.3019,-0.3086,-0.2958,29,12,4
2017-12-29,KEY,-0.7967,-0.7994,-0.7949,-0.7995,1.0567,29,12,4
2017-12-29,KHC,0.2390,0.2447,0.2511,0.2396,0.1067,29,12,4
2017-12-29,KIM,-0.8372,-0.8385,-0.8338,-0.8360,0.0610,29,12,4
2017-12-29,KLAC,0.7830,0.7730,0.7467,0.7324,-0.3147,29,12,4
2017-12-29,KMB,1.0135,1.0117,1.0233,1.0137,-0.2407,29,12,4
2017-12-29,KMI,-0.8332,-0.8365,-0.8332,-0.8374,2.6050,29,12,4
2017-12-29,KMX,0.0123,0.0056,0.0045,-0.0063,-0.2033,29,12,4
2017-12-29,KORS,-0.0137,-0.0211,-0.0173,-0.0276,-0.2452,29,12,4
2017-12-29,KO,-0.3387,-0.3377,-0.3307,-0.3356,1.9509,29,12,4
2017-12-29,KR,-0.6637,-0.6673,-0.6625,-0.6682,0.9093,29,12,4
2017-12-29,KSS,-0.1710,-0.1778,-0.1762,-0.1850,0.1835,29,12,4
2017-12-29,KSU,0.7494,0.7419,0.7510,0.7351,-0.4061,29,12,4
2017-12-29,K,0.0668,0.0644,0.0742,0.0632,-0.2942,29,12,4
2017-12-29,LB,-0.0587,-0.0676,-0.0673,-0.0769,-0.1717,29,12,4
